([2], 549)
([41, 48, 475], 428)
([41, 48, 89], 606)
([41, 48, 170], 492)
([41, 48, 65], 663)
([19, 39, 48], 402)
([32, 36, 38], 472)
([32, 38, 39], 1840)
([32, 38, 110], 443)
([32, 38, 41], 805)
([32, 38, 170], 532)
([32, 38, 48], 1646)
([32, 39, 225], 466)
([32, 39, 41], 2359)
([32, 39, 89], 532)
([32, 39, 65], 512)
([32, 39, 48], 5402)
([32, 41, 48], 2063)
([32, 48, 89], 573)
([32, 48, 65], 492)
([36, 38, 39, 41], 553)
([36, 38, 39, 48], 1080)
([37, 38, 39, 48], 433)
([38, 39, 41, 110], 511)
([38, 39, 41, 170], 615)
([38, 39, 41, 48], 1991)
([38, 39, 48, 110], 1031)
([38, 39, 48, 89], 467)
([38, 39, 48, 170], 1193)
([38, 39, 48, 286], 458)
([38, 41, 48, 110], 419)
([38, 41, 48, 170], 484)
([39, 41, 48, 225], 469)
([39, 41, 48, 310], 486)
([39, 41, 48, 89], 522)
([39, 41, 48, 170], 419)
([39, 41, 48, 65], 547)
([32, 38, 39, 41], 622)
([32, 38, 39, 48], 1236)
([32, 38, 41, 48], 540)
([32, 39, 41, 48], 1646)
([32, 39, 48, 89], 451)
([38, 39, 41, 48, 170], 413)
([32, 38, 39, 41, 48], 448)
